X,Y,Slice,DX,DY,Orientation,Coherency,Energy
5,5,0,-0.228,-0.974,-76.836,0.518,0.786
15,5,0,-0.226,-0.974,-76.928,0.517,0.785
25,5,0,-0.223,-0.975,-77.117,0.516,0.782
35,5,0,-0.218,-0.976,-77.404,0.514,0.778
45,5,0,-0.211,-0.977,-77.790,0.512,0.772
55,5,0,-0.203,-0.979,-78.277,0.509,0.766
65,5,0,-0.193,-0.981,-78.867,0.505,0.758
75,5,0,-0.181,-0.983,-79.564,0.501,0.750
85,5,0,-0.167,-0.986,-80.369,0.497,0.741
95,5,0,-0.152,-0.988,-81.285,0.492,0.732
105,5,0,-0.134,-0.991,-82.315,0.486,0.723
115,5,0,-0.114,-0.993,-83.457,0.481,0.714
125,5,0,-0.092,-0.996,-84.709,0.475,0.705
135,5,0,-0.069,-0.998,-86.067,0.470,0.696
145,5,0,-0.043,-0.999,-87.521,0.466,0.688
155,5,0,-0.016,-1.000,-89.058,0.462,0.681
165,5,0,-0.012,0.800,89.156,0.459,0.674
175,5,0,-0.040,0.999,87.686,0.457,0.669
185,5,0,-0.070,0.998,86.004,0.455,0.664
195,5,0,-0.099,0.995,84.311,0.455,0.660
205,5,0,-0.128,0.992,82.623,0.456,0.656
215,5,0,-0.157,0.988,80.953,0.457,0.654
225,5,0,-0.185,0.983,79.311,0.458,0.652
235,5,0,-0.213,0.977,77.704,0.461,0.651
245,5,0,-0.240,0.971,76.139,0.464,0.651
255,5,0,-0.265,0.964,74.619,0.467,0.650
265,5,0,-0.290,0.957,73.149,0.471,0.651
275,5,0,-0.313,0.950,71.734,0.475,0.652
285,5,0,-0.336,0.942,70.377,0.480,0.653
295,5,0,-0.357,0.934,69.086,0.485,0.654
305,5,0,-0.377,0.926,67.865,0.490,0.656
315,5,0,-0.395,0.919,66.721,0.496,0.657
325,5,0,-0.412,0.911,65.660,0.502,0.659
335,5,0,-0.428,0.904,64.687,0.508,0.661
345,5,0,-0.441,0.897,63.805,0.514,0.663
355,5,0,-0.454,0.891,63.018,0.520,0.664
365,5,0,-0.464,0.886,62.326,0.526,0.666
375,5,0,-0.474,0.881,61.731,0.531,0.667
385,5,0,-0.481,0.877,61.232,0.535,0.667
395,5,0,-0.487,0.873,60.827,0.538,0.667
405,5,0,-0.492,0.870,60.516,0.540,0.667
415,5,0,-0.495,0.869,60.298,0.542,0.667
425,5,0,-0.497,0.867,60.169,0.542,0.667
435,5,0,-0.498,0.867,60.128,0.541,0.666
445,5,0,-0.497,0.868,60.173,0.540,0.666
455,5,0,-0.495,0.869,60.301,0.537,0.666
465,5,0,-0.492,0.870,60.508,0.534,0.666
475,5,0,-0.488,0.873,60.788,0.530,0.666
485,5,0,-0.483,0.876,61.135,0.526,0.667
495,5,0,-0.477,0.879,61.542,0.522,0.669
505,5,0,-0.469,0.883,61.998,0.518,0.670
515,5,0,-0.462,0.887,62.497,0.514,0.672
525,5,0,-0.454,0.891,63.028,0.510,0.674
