X,Y,Slice,DX,DY,Orientation,Coherency,Energy
5,5,0,-0.933,0.361,21.135,0.625,0.869
15,5,0,-0.933,0.360,21.110,0.624,0.868
25,5,0,-0.933,0.359,21.058,0.623,0.868
35,5,0,-0.934,0.358,20.982,0.622,0.867
45,5,0,-0.934,0.356,20.884,0.621,0.866
55,5,0,-0.935,0.355,20.768,0.619,0.864
65,5,0,-0.936,0.352,20.639,0.617,0.862
75,5,0,-0.937,0.350,20.500,0.614,0.860
85,5,0,-0.938,0.348,20.356,0.612,0.857
95,5,0,-0.938,0.345,20.211,0.610,0.854
105,5,0,-0.939,0.343,20.071,0.608,0.851
115,5,0,-0.940,0.341,19.939,0.607,0.848
125,5,0,-0.941,0.339,19.819,0.605,0.845
135,5,0,-0.941,0.337,19.715,0.604,0.842
145,5,0,-0.942,0.336,19.632,0.604,0.840
155,5,0,-0.942,0.335,19.571,0.604,0.838
165,5,0,-0.942,0.334,19.534,0.605,0.837
175,5,0,-0.943,0.334,19.523,0.606,0.836
185,5,0,-0.942,0.334,19.539,0.608,0.837
195,5,0,-0.942,0.335,19.579,0.610,0.838
205,5,0,-0.942,0.336,19.643,0.613,0.840
215,5,0,-0.941,0.338,19.729,0.615,0.843
225,5,0,-0.941,0.339,19.832,0.618,0.847
235,5,0,-0.940,0.341,19.950,0.621,0.851
245,5,0,-0.939,0.343,20.080,0.624,0.855
255,5,0,-0.938,0.346,20.218,0.627,0.859
265,5,0,-0.938,0.348,20.362,0.630,0.862
275,5,0,-0.937,0.350,20.511,0.632,0.865
285,5,0,-0.936,0.353,20.663,0.633,0.868
295,5,0,-0.935,0.355,20.819,0.634,0.869
305,5,0,-0.934,0.358,20.978,0.635,0.869
315,5,0,-0.933,0.361,21.143,0.634,0.868
325,5,0,-0.932,0.363,21.315,0.633,0.865
335,5,0,-0.930,0.366,21.495,0.632,0.862
345,5,0,-0.929,0.370,21.687,0.630,0.858
355,5,0,-0.928,0.373,21.892,0.627,0.853
365,5,0,-0.926,0.376,22.114,0.624,0.847
375,5,0,-0.925,0.380,22.352,0.620,0.840
385,5,0,-0.923,0.384,22.610,0.616,0.833
395,5,0,-0.921,0.389,22.886,0.611,0.825
405,5,0,-0.919,0.394,23.182,0.606,0.818
415,5,0,-0.917,0.399,23.495,0.602,0.809
425,5,0,-0.915,0.404,23.823,0.597,0.801
435,5,0,-0.912,0.409,24.163,0.592,0.792
445,5,0,-0.910,0.415,24.509,0.587,0.782
455,5,0,-0.907,0.420,24.859,0.583,0.772
465,5,0,-0.905,0.426,25.205,0.578,0.762
475,5,0,-0.902,0.431,25.544,0.574,0.750
485,5,0,-0.900,0.436,25.871,0.570,0.738
495,5,0,-0.897,0.441,26.182,0.566,0.726
505,5,0,-0.895,0.446,26.474,0.562,0.712
515,5,0,-0.893,0.450,26.744,0.558,0.698
525,5,0,-0.891,0.454,26.991,0.554,0.684
535,5,0,-0.889,0.457,27.214,0.551,0.669
545,5,0,-0.888,0.460,27.412,0.547,0.654
555,5,0,-0.886,0.463,27.586,0.544,0.639
565,5,0,-0.885,0.465,27.736,0.541,0.623
575,5,0,-0.884,0.467,27.860,0.538,0.608
585,5,0,-0.883,0.469,27.958,0.535,0.594
595,5,0,-0.883,0.470,28.028,0.533,0.580
605,5,0,-0.882,0.471,28.068,0.530,0.567
615,5,0,-0.882,0.471,28.074,0.529,0.555
625,5,0,-0.883,0.470,28.043,0.527,0.545
635,5,0,-0.883,0.469,27.969,0.526,0.535
645,5,0,-0.884,0.467,27.850,0.525,0.528
655,5,0,-0.886,0.465,27.681,0.524,0.522
665,5,0,-0.887,0.461,27.461,0.523,0.517
675,5,0,-0.890,0.457,27.188,0.523,0.515
685,5,0,-0.892,0.452,26.861,0.522,0.515
695,5,0,-0.895,0.446,26.482,0.522,0.516
705,5,0,-0.898,0.439,26.054,0.523,0.520
715,5,0,-0.902,0.432,25.581,0.523,0.525
725,5,0,-0.906,0.424,25.068,0.524,0.532
735,5,0,-0.910,0.415,24.522,0.525,0.541
745,5,0,-0.914,0.406,23.950,0.526,0.552
755,5,0,-0.918,0.396,23.359,0.528,0.564
765,5,0,-0.922,0.387,22.755,0.529,0.577
775,5,0,-0.926,0.377,22.146,0.531,0.592
785,5,0,-0.930,0.367,21.537,0.534,0.607
795,5,0,-0.934,0.357,20.933,0.536,0.623
805,5,0,-0.938,0.348,20.337,0.538,0.639
815,5,0,-0.941,0.338,19.754,0.539,0.655
825,5,0,-0.944,0.329,19.183,0.541,0.671
835,5,0,-0.948,0.319,18.626,0.542,0.687
845,5,0,-0.951,0.310,18.083,0.542,0.701
855,5,0,-0.953,0.302,17.552,0.542,0.715
865,5,0,-0.956,0.293,17.032,0.542,0.727
875,5,0,-0.959,0.284,16.519,0.541,0.738
885,5,0,-0.961,0.276,16.011,0.540,0.747
895,5,0,-0.964,0.267,15.505,0.538,0.755
905,5,0,-0.966,0.259,14.998,0.536,0.760
915,5,0,-0.968,0.250,14.486,0.534,0.764
925,5,0,-0.970,0.241,13.967,0.531,0.766
935,5,0,-0.973,0.232,13.438,0.529,0.766
945,5,0,-0.975,0.223,12.897,0.526,0.765
955,5,0,-0.977,0.214,12.342,0.523,0.762
965,5,0,-0.979,0.204,11.773,0.520,0.758
975,5,0,-0.981,0.194,11.188,0.517,0.753
985,5,0,-0.983,0.184,10.588,0.515,0.747
995,5,0,-0.985,0.173,9.973,0.512,0.741
1005,5,0,-0.987,0.162,9.345,0.510,0.734
1015,5,0,-0.988,0.151,8.705,0.508,0.728
1025,5,0,-0.990,0.140,8.057,0.506,0.721
1035,5,0,-0.992,0.129,7.402,0.505,0.715
1045,5,0,-0.993,0.117,6.743,0.504,0.709
1055,5,0,-0.994,0.106,6.082,0.504,0.703
1065,5,0,-0.996,0.094,5.421,0.503,0.698
1075,5,0,-0.997,0.083,4.760,0.503,0.694
1085,5,0,-0.997,0.072,4.100,0.504,0.691
1095,5,0,-0.998,0.060,3.442,0.505,0.688
1105,5,0,-0.999,0.049,2.785,0.506,0.687
1115,5,0,-0.999,0.037,2.129,0.508,0.686
1125,5,0,-1.000,0.026,1.474,0.510,0.686
1135,5,0,-1.000,0.014,0.819,0.512,0.687
1145,5,0,-1.000,0.003,0.166,0.515,0.689
1155,5,0,-1.000,-0.008,-0.485,0.519,0.692
1165,5,0,-1.000,-0.020,-1.132,0.522,0.696
1175,5,0,-1.000,-0.031,-1.772,0.527,0.701
1185,5,0,-0.999,-0.042,-2.401,0.531,0.706
1195,5,0,-0.999,-0.053,-3.015,0.536,0.713
1205,5,0,-0.998,-0.063,-3.610,0.542,0.720
1215,5,0,-0.997,-0.073,-4.180,0.547,0.728
1225,5,0,-0.997,-0.082,-4.722,0.553,0.736
1235,5,0,-0.996,-0.091,-5.229,0.559,0.745
1245,5,0,-0.995,-0.099,-5.700,0.565,0.755
1255,5,0,-0.994,-0.107,-6.131,0.571,0.764
1265,5,0,-0.994,-0.114,-6.522,0.577,0.774
1275,5,0,-0.993,-0.120,-6.872,0.582,0.783
1285,5,0,-0.992,-0.125,-7.183,0.587,0.793
1295,5,0,-0.992,-0.130,-7.455,0.592,0.802
1305,5,0,-0.991,-0.134,-7.693,0.596,0.810
1315,5,0,-0.991,-0.137,-7.900,0.600,0.818
1325,5,0,-0.990,-0.141,-8.080,0.603,0.825
1335,5,0,-0.990,-0.143,-8.236,0.606,0.832
1345,5,0,-0.989,-0.146,-8.374,0.609,0.838
1355,5,0,-0.989,-0.148,-8.497,0.611,0.843
1365,5,0,-0.989,-0.150,-8.610,0.613,0.848
1375,5,0,-0.988,-0.152,-8.717,0.614,0.852
1385,5,0,-0.988,-0.153,-8.822,0.615,0.855
1395,5,0,-0.988,-0.155,-8.928,0.616,0.858
1405,5,0,-0.988,-0.157,-9.039,0.617,0.859
1415,5,0,-0.987,-0.159,-9.156,0.618,0.860
1425,5,0,-0.987,-0.161,-9.281,0.619,0.860
1435,5,0,-0.987,-0.164,-9.417,0.620,0.859
1445,5,0,-0.986,-0.166,-9.564,0.621,0.858
1455,5,0,-0.986,-0.169,-9.721,0.622,0.855
1465,5,0,-0.985,-0.172,-9.889,0.623,0.852
1475,5,0,-0.985,-0.175,-10.066,0.623,0.848
1485,5,0,-0.984,-0.178,-10.251,0.624,0.845
1495,5,0,-0.983,-0.181,-10.441,0.625,0.840
1505,5,0,-0.983,-0.185,-10.633,0.625,0.836
1515,5,0,-0.982,-0.188,-10.825,0.625,0.832
1525,5,0,-0.982,-0.191,-11.014,0.624,0.828
1535,5,0,-0.981,-0.194,-11.196,0.624,0.824
1545,5,0,-0.980,-0.197,-11.370,0.622,0.821
1555,5,0,-0.980,-0.200,-11.533,0.620,0.818
1565,5,0,-0.979,-0.203,-11.684,0.618,0.816
1575,5,0,-0.979,-0.205,-11.823,0.615,0.814
1585,5,0,-0.978,-0.207,-11.950,0.611,0.812
1595,5,0,-0.978,-0.209,-12.067,0.606,0.811
1605,5,0,-0.978,-0.211,-12.175,0.601,0.810
1615,5,0,-0.977,-0.213,-12.278,0.595,0.809
1625,5,0,-0.977,-0.214,-12.380,0.588,0.809
1635,5,0,-0.976,-0.216,-12.483,0.581,0.808
1645,5,0,-0.976,-0.218,-12.592,0.574,0.808
1655,5,0,-0.975,-0.220,-12.712,0.566,0.808
1665,5,0,-0.975,-0.222,-12.846,0.558,0.807
1675,5,0,-0.974,-0.225,-12.998,0.550,0.807
1685,5,0,-0.974,-0.228,-13.173,0.541,0.806
1695,5,0,-0.973,-0.231,-13.375,0.533,0.805
1705,5,0,-0.972,-0.235,-13.609,0.525,0.803
1715,5,0,-0.971,-0.240,-13.879,0.517,0.801
1725,5,0,-0.969,-0.245,-14.190,0.509,0.799
1735,5,0,-0.968,-0.251,-14.545,0.502,0.797
1745,5,0,-0.966,-0.258,-14.950,0.494,0.794
1755,5,0,-0.964,-0.266,-15.407,0.488,0.792
1765,5,0,-0.962,-0.274,-15.920,0.481,0.789
1775,5,0,-0.959,-0.284,-16.491,0.476,0.787
1785,5,0,-0.956,-0.294,-17.120,0.471,0.785
1795,5,0,-0.952,-0.306,-17.809,0.466,0.783
1805,5,0,-0.948,-0.318,-18.556,0.462,0.782
1815,5,0,-0.943,-0.331,-19.360,0.458,0.780
1825,5,0,-0.938,-0.346,-20.219,0.455,0.780
1835,5,0,-0.933,-0.360,-21.131,0.453,0.779
1845,5,0,-0.927,-0.376,-22.091,0.451,0.779
1855,5,0,-0.920,-0.392,-23.094,0.450,0.779
1865,5,0,-0.913,-0.409,-24.135,0.449,0.780
1875,5,0,-0.905,-0.426,-25.207,0.448,0.780
1885,5,0,-0.896,-0.443,-26.303,0.448,0.781
1895,5,0,-0.888,-0.460,-27.415,0.448,0.781
1905,5,0,-0.879,-0.478,-28.536,0.448,0.782
1915,5,0,-0.869,-0.495,-29.660,0.449,0.783
1925,5,0,-0.859,-0.512,-30.781,0.450,0.784
1935,5,0,-0.849,-0.528,-31.896,0.451,0.785
1945,5,0,-0.839,-0.545,-33.000,0.452,0.785
1955,5,0,-0.828,-0.560,-34.090,0.453,0.786
1965,5,0,-0.817,-0.576,-35.166,0.455,0.787
1975,5,0,-0.807,-0.591,-36.224,0.456,0.787
1985,5,0,-0.796,-0.605,-37.261,0.457,0.788
1995,5,0,-0.785,-0.619,-38.275,0.459,0.788
2005,5,0,-0.774,-0.633,-39.262,0.461,0.788
2015,5,0,-0.764,-0.646,-40.217,0.463,0.787
2025,5,0,-0.753,-0.658,-41.138,0.466,0.785
2035,5,0,-0.743,-0.669,-42.019,0.468,0.783
2045,5,0,-0.733,-0.680,-42.861,0.471,0.780
2055,5,0,-0.723,-0.690,-43.662,0.474,0.776
2065,5,0,-0.714,-0.700,-44.425,0.476,0.770
2075,5,0,-0.705,-0.709,-45.154,0.479,0.763
2085,5,0,-0.696,-0.718,-45.856,0.481,0.755
2095,5,0,-0.688,-0.726,-46.541,0.482,0.744
2105,5,0,-0.679,-0.734,-47.219,0.482,0.733
2115,5,0,-0.670,-0.742,-47.903,0.482,0.719
2125,5,0,-0.661,-0.750,-48.607,0.481,0.704
2135,5,0,-0.652,-0.759,-49.342,0.479,0.688
2145,5,0,-0.641,-0.767,-50.121,0.476,0.670
2155,5,0,-0.630,-0.777,-50.958,0.472,0.652
2165,5,0,-0.618,-0.786,-51.860,0.467,0.633
2175,5,0,-0.604,-0.797,-52.838,0.461,0.614
2185,5,0,-0.589,-0.808,-53.897,0.455,0.594
2195,5,0,-0.573,-0.820,-55.042,0.448,0.576
2205,5,0,-0.555,-0.832,-56.275,0.441,0.557
2215,5,0,-0.536,-0.844,-57.595,0.433,0.540
2225,5,0,-0.515,-0.857,-59.001,0.425,0.524
2235,5,0,-0.493,-0.870,-60.491,0.417,0.509
2245,5,0,-0.469,-0.883,-62.060,0.409,0.496
2255,5,0,-0.443,-0.897,-63.706,0.401,0.485
2265,5,0,-0.416,-0.909,-65.427,0.393,0.475
2275,5,0,-0.387,-0.922,-67.222,0.385,0.467
2285,5,0,-0.357,-0.934,-69.091,0.377,0.462
2295,5,0,-0.325,-0.946,-71.035,0.369,0.458
2305,5,0,-0.291,-0.957,-73.057,0.362,0.456
2315,5,0,-0.256,-0.967,-75.159,0.355,0.457
2325,5,0,-0.219,-0.976,-77.341,0.348,0.459
2335,5,0,-0.181,-0.984,-79.600,0.343,0.462
2345,5,0,-0.140,-0.990,-81.931,0.338,0.468
2355,5,0,-0.099,-0.995,-84.325,0.334,0.475
