X,Y,Slice,DX,DY,Orientation,Coherency,Energy
5,5,0,-0.932,0.361,21.179,0.635,0.886
15,5,0,-0.933,0.361,21.171,0.634,0.886
25,5,0,-0.933,0.361,21.155,0.633,0.886
35,5,0,-0.933,0.360,21.131,0.632,0.885
45,5,0,-0.933,0.360,21.098,0.631,0.884
55,5,0,-0.933,0.359,21.055,0.629,0.882
65,5,0,-0.934,0.358,21.003,0.626,0.880
75,5,0,-0.934,0.357,20.942,0.624,0.878
85,5,0,-0.934,0.356,20.872,0.621,0.875
95,5,0,-0.935,0.355,20.795,0.619,0.871
105,5,0,-0.935,0.354,20.713,0.617,0.868
115,5,0,-0.936,0.352,20.629,0.614,0.864
125,5,0,-0.936,0.351,20.546,0.612,0.859
135,5,0,-0.937,0.350,20.470,0.611,0.855
145,5,0,-0.937,0.349,20.405,0.610,0.851
155,5,0,-0.938,0.348,20.355,0.609,0.847
165,5,0,-0.938,0.347,20.326,0.609,0.844
175,5,0,-0.938,0.347,20.321,0.610,0.841
185,5,0,-0.938,0.348,20.342,0.611,0.839
195,5,0,-0.937,0.348,20.390,0.612,0.838
205,5,0,-0.937,0.350,20.465,0.614,0.838
215,5,0,-0.936,0.351,20.565,0.616,0.838
225,5,0,-0.936,0.353,20.688,0.619,0.839
235,5,0,-0.935,0.356,20.831,0.621,0.840
245,5,0,-0.934,0.358,20.992,0.623,0.842
255,5,0,-0.933,0.361,21.168,0.626,0.844
265,5,0,-0.931,0.364,21.358,0.628,0.846
275,5,0,-0.930,0.367,21.560,0.629,0.848
285,5,0,-0.929,0.371,21.774,0.630,0.849
295,5,0,-0.927,0.375,22.000,0.631,0.850
305,5,0,-0.926,0.378,22.238,0.631,0.851
315,5,0,-0.924,0.383,22.490,0.631,0.851
325,5,0,-0.922,0.387,22.756,0.630,0.850
335,5,0,-0.920,0.391,23.036,0.629,0.849
345,5,0,-0.918,0.396,23.332,0.627,0.847
355,5,0,-0.916,0.401,23.644,0.624,0.844
365,5,0,-0.914,0.406,23.973,0.621,0.841
375,5,0,-0.911,0.412,24.316,0.617,0.837
385,5,0,-0.909,0.417,24.674,0.614,0.833
395,5,0,-0.906,0.423,25.044,0.610,0.829
405,5,0,-0.903,0.429,25.422,0.606,0.824
415,5,0,-0.900,0.435,25.805,0.602,0.818
425,5,0,-0.897,0.441,26.188,0.598,0.811
435,5,0,-0.894,0.447,26.566,0.594,0.804
445,5,0,-0.892,0.453,26.933,0.590,0.796
455,5,0,-0.889,0.458,27.286,0.586,0.787
465,5,0,-0.886,0.464,27.618,0.583,0.777
475,5,0,-0.884,0.468,27.927,0.579,0.765
485,5,0,-0.881,0.473,28.210,0.576,0.753
495,5,0,-0.879,0.477,28.465,0.573,0.739
505,5,0,-0.877,0.480,28.691,0.569,0.724
515,5,0,-0.876,0.483,28.889,0.566,0.708
525,5,0,-0.874,0.486,29.060,0.562,0.691
535,5,0,-0.873,0.488,29.206,0.558,0.673
545,5,0,-0.872,0.490,29.329,0.555,0.655
555,5,0,-0.871,0.491,29.431,0.551,0.636
565,5,0,-0.870,0.493,29.513,0.547,0.618
575,5,0,-0.870,0.494,29.579,0.543,0.599
585,5,0,-0.869,0.494,29.628,0.539,0.582
595,5,0,-0.869,0.495,29.661,0.535,0.564
605,5,0,-0.869,0.495,29.675,0.531,0.548
615,5,0,-0.869,0.495,29.670,0.528,0.533
625,5,0,-0.869,0.495,29.641,0.525,0.520
635,5,0,-0.870,0.494,29.584,0.522,0.508
645,5,0,-0.870,0.492,29.496,0.519,0.498
655,5,0,-0.871,0.490,29.371,0.517,0.489
665,5,0,-0.873,0.488,29.206,0.515,0.483
675,5,0,-0.875,0.485,28.997,0.513,0.479
685,5,0,-0.877,0.481,28.743,0.512,0.477
695,5,0,-0.879,0.476,28.441,0.512,0.477
705,5,0,-0.882,0.471,28.094,0.511,0.479
715,5,0,-0.885,0.465,27.702,0.511,0.484
725,5,0,-0.889,0.458,27.270,0.511,0.490
735,5,0,-0.893,0.451,26.802,0.512,0.498
745,5,0,-0.896,0.443,26.305,0.512,0.508
755,5,0,-0.900,0.435,25.784,0.513,0.519
765,5,0,-0.904,0.427,25.246,0.514,0.532
775,5,0,-0.909,0.418,24.699,0.515,0.546
785,5,0,-0.912,0.409,24.147,0.516,0.560
795,5,0,-0.916,0.400,23.598,0.517,0.575
805,5,0,-0.920,0.392,23.056,0.517,0.590
815,5,0,-0.924,0.383,22.524,0.518,0.604
825,5,0,-0.927,0.375,22.004,0.518,0.619
835,5,0,-0.930,0.366,21.498,0.518,0.633
845,5,0,-0.934,0.358,21.005,0.517,0.645
855,5,0,-0.937,0.351,20.524,0.516,0.657
865,5,0,-0.939,0.343,20.051,0.515,0.668
875,5,0,-0.942,0.335,19.583,0.513,0.677
885,5,0,-0.945,0.327,19.116,0.511,0.685
895,5,0,-0.948,0.320,18.645,0.509,0.692
905,5,0,-0.950,0.312,18.164,0.506,0.697
915,5,0,-0.953,0.304,17.668,0.503,0.701
925,5,0,-0.956,0.295,17.153,0.500,0.704
